angol	magyar	felvetel	helyes	helytelen
renewal	megújítás	2004.02.18	113	24
heading	felzet	2004.02.03	98	24
pluck	rántás	2003.08.21	143	28
score	huzagolás	2003.04.03	104	15
burn	füstölés	2004.11.23	52	8
astute	ravasz	2005.08.17	50	23
stingily	maróan	2004.09.24	106	29
ironmongery	vaskereskedés	2005.08.17	41	7
insertion	illeszkedés	2004.11.16	83	3
judiciary	jogi	2005.03.14	114	21
dachshund	borzeb	2003.11.25	92	27
strapping	szíjazat	2005.05.31	82	18
sliver	szilánk	2003.05.25	146	3
misdirection	félrevezetés	2004.06.18	48	4
unintelligent	unintelligens	2004.08.10	141	6
constituent	alkotó	2003.02.25	76	11
conscription	hadiadó	2003.11.16	65	14
contraband	csempészáru	2003.11.11	89	8
onrush	támadás	2004.07.04	135	7
groom	istállófiú	2004.10.10	73	12
immovable	ingatlanvagyon	2004.04.03	62	27
nosy	kíváncsiskodó	2004.04.22	119	15
wrong	alkalmatlanul	2004.05.08	67	16
lodgement	beszállásolás	2005.10.14	158	14
exercises	ünnepély	2004.08.25	154	4
piggery	disznóhizlaló	2003.04.09	148	5
paperhangings	papírtapéta	2003.12.26	115	29
masking	elfojtás	2003.03.30	108	10
redundant	felesleges	2003.10.17	87	7
publican	kocsmáros	2005.05.05	93	22
weird	furcsa	2005.05.06	103	13
morgue	hullaház	2005.09.12	46	4
arrangement	elintézés	2003.02.16	156	27
assimilative	asszimiláló	2003.08.21	99	9
splatter	befröcskölés	2005.04.04	135	26
agile	agilis	2004.12.10	158	5
coarse	rücskös	2004.04.15	108	25
impervious	érzéketlen	2005.10.04	82	5
scullery	mosogatóhelyiség	2005.09.15	110	18
chord	ívhúr	2004.01.30	99	15
compassion	könyörület	2004.04.23	158	18
scallop	hornyolás	2002.11.25	140	24
canary	kanári	2004.11.05	58	22
sassy	elegáns	2003.04.26	63	26
personal	saját	2004.07.30	150	10
constrictive	összehúzó	2004.06.04	120	19
cockeyed	lehetetlen	2005.04.27	60	22
postpositional	névutói	2005.07.30	130	21
paganish	istentelen	2003.01.16	92	15
birch	virgács	2005.03.21	136	25
shrubbery	bokorültetvény	2003.07.09	45	3
carburettor	karburátor	2002.11.30	113	5
trivial	jelentéktelen	2004.04.05	98	27
brindle	tarka	2005.06.05	136	19
middling	közepesen	2004.08.15	119	8
stringent	szoros	2003.01.16	82	23
pole	zászlórúd	2005.09.05	72	19
attendance	hallgatóság	2002.11.09	74	10
plasticity	formálhatóság	2004.10.30	41	24
billeting	beszállásolás	2005.05.10	51	16
mercy	könyörületesség	2004.06.05	81	22
hooked	görbe	2004.10.27	138	11
pass	fogas	2004.11.03	83	3
bluster	kérkedés	2004.10.23	81	21
ingredient	hozzávaló	2003.08.16	78	27
putative	vélt	2003.07.15	42	29
academic	hagyományos	2002.12.17	158	17
secretariat	titkárság	2003.07.30	59	18
incident	jelenség	2004.04.25	69	25
wolfish	kegyetlen	2003.11.22	111	13
what	hány	2003.11.28	70	11
bend	ivászat	2005.06.13	87	22
slur	gyalázat	2002.12.17	135	2
direction	irány	2005.01.07	97	25
touchy	kényes	2005.04.10	63	7
bender	tivornya	2003.09.25	154	12
arrangement	tagoltság	2003.12.01	148	22
raspingly	nyersen	2004.03.26	114	27
brick	tégla	2004.07.04	146	19
shuttle	ingaforgalom	2005.07.31	89	26
jewellery	ékszerek	2004.08.19	70	27
engorgement	vértolulás	2004.03.28	125	8
confined	szoros	2004.03.23	94	5
itchy	rühös	2003.06.17	91	4
pale	deszkakerítés	2004.12.21	120	15
tab	szegély	2004.09.27	56	13
scaling	aránykiszámítás	2004.01.07	48	24
setback	hanyatlás	2003.03.28	65	28
surf	szörf	2004.01.27	59	1
whistle	fütty	2005.05.21	43	2
senior	öregebb	2005.04.27	84	7
sapphire	zafírkék	2005.03.21	86	3
distinct	világos	2004.07.24	47	24
raunchy	lerobbant	2005.10.18	103	6
stub	csonk	2003.07.11	48	11
brilliant	pompás	2003.03.19	143	1
scabby	varas	2005.06.27	59	3
languidity	tunyaság	2002.12.27	97	7
gun	puska	2005.10.30	50	3
tapping	menetvágás	2003.07.08	70	29
section	osztály	2004.07.14	72	0
dish	étel	2005.01.07	80	6
move	sakkhúzás	2003.06.24	142	23
slinky	tutajos	2005.01.10	93	4
cover	bozót	2005.11.24	60	27
eagerly	buzgón	2005.11.07	61	14
dicey	rizikós	2004.11.03	151	29
idyll	pásztorköltemény	2004.08.05	129	17
working	megmunkálás	2003.09.21	127	23
swooningly	ellankadva	2005.07.11	124	10
maverick	szabadúszó	2002.12.17	92	25
frog	sujtás	2003.10.03	101	0
stuffing	töltelék	2005.09.19	55	21
unobtainable	elnyerhetetlen	2003.03.13	150	27
togetherness	összetartás	2005.01.05	122	26
pole	sarok	2005.04.16	140	5
pat	falapát	2004.05.05	40	5
perfume	szag	2003.08.09	64	22
foggy	elmosódott	2004.09.30	43	2
vivaciousness	jókedv	2002.12.01	121	19
dismemberment	megcsonkítás	2005.09.11	48	9
touched	meghatott	2003.09.17	130	7
drinker	alkoholista	2003.01.02	137	3
wad	csutak	2003.07.04	127	7
abominable	visszataszító	2003.09.17	109	29
bend	ív	2004.06.03	61	25
magisterial	hatósági	2003.08.07	75	21
thigh	comb	2004.03.10	140	23
dishwater	lötty	2003.05.27	83	15
menial	cseléd	2004.05.21	145	5
insurmountable	leküzdhetetlen	2003.11.29	81	5
remote	magányos	2003.07.14	120	13
turnover	ciklus	2005.01.27	141	22
radiant	ragyogó	2004.10.20	129	2
vituperation	szidás	2003.06.29	150	16
juror	esküdt	2004.11.06	54	2
sniveling	nyavalygó	2003.02.13	61	20
roomy	nagy	2005.01.06	89	26
science	tudomány	2004.04.12	156	6
bluster	zúgás	2004.12.23	110	20
shoot	sarjadék	2005.03.06	127	0
orchestra	zenekar	2004.07.13	155	28
quibble	kibúvó	2003.11.20	122	26
redoubtable	rettenthetetlen	2004.05.27	91	18
location	helyszín	2002.11.03	89	14
unmindful	feledékeny	2005.09.03	90	25
positivistic	pozitivista	2005.03.14	103	29
rich	pompás	2005.09.22	47	10
dipping	lehajló	2004.07.08	136	12
gimmick	átejtés	2005.05.16	65	6
cohesively	kohéziósan	2005.10.02	123	17
place	állás	2003.07.14	78	1
morbid	beteges	2005.01.20	85	16
viability	életképesség	2004.06.16	124	28
pantaloon	pantalló	2005.04.06	133	29
continent	földrész	2005.08.14	137	4
coastal	parti	2004.02.28	43	25
tincture	színezet	2003.03.18	141	2
talc	talkum	2003.12.27	143	29
hypocritical	képmutató	2003.06.05	122	10
royal	fejedelmi	2005.08.16	145	8
heel	sarok	2003.09.01	127	5
municipal	törvényhatósági	2003.07.23	136	24
big	terjedelmes	2005.10.17	75	18
soreness	fájdalom	2005.04.02	113	0
clips	klipsz	2003.08.22	157	16
futility	értelmetlenség	2005.03.08	148	15
scaffold	lelátó	2005.03.31	78	23
traverse	akadály	2005.04.07	69	8
fitfully	rapszodikusan	2004.04.03	149	18
piracy	kalózkodás	2004.05.10	65	1
sounding	hangzás	2005.09.03	121	26
rusting	rozsdásodás	2003.04.29	44	17
clincher	kötélbog	2003.09.14	109	12
meaninglessness	céltalanság	2004.02.21	85	2
dated	keltezett	2003.07.13	131	14
uniform	állandó	2003.12.08	148	11
mop	rongykorong	2003.05.26	131	20
butt	tönk	2004.07.24	79	24
ominous	ominózus	2004.08.17	92	1
batten	palló	2005.07.14	136	27
solitary	társtalan	2004.01.05	143	1
fellow	pajtás	2004.11.29	123	5
sore	fájó	2003.09.04	41	24
forlornly	kétségbeesetten	2003.10.18	107	14
fellow	fickó	2005.08.15	57	0
abrader	csiszolóanyag	2003.11.28	97	14
booty	préda	2005.08.06	155	10
adhesive	hozzáragadó	2005.02.18	78	22
dullness	pangás	2004.03.02	70	4
rattling	remek	2005.11.12	139	20
mouldering	sorvadó	2005.07.28	146	29
expansion	kiterjedés	2005.12.03	83	3
skin	svindler	2003.09.28	101	6
unhelpful	értéktelen	2005.06.12	116	27
petition	petíció	2003.09.17	68	10
orderliness	rend	2003.04.27	95	15
flange	karima	2004.04.07	47	25
flux	keringés	2005.05.22	112	28
permanently	maradandóan	2004.10.04	59	7
inclusion	belefoglalás	2004.11.20	96	23
node	bütyök	2003.03.06	40	18
wee	parányi	2004.08.21	69	6
fury	tombolás	2005.03.18	49	28
cabby	taxis	2005.07.15	45	28
hobble	béklyó	2003.12.08	99	2
persistent	örök	2005.06.02	73	22
redemption	helyrehozás	2003.12.20	136	24
crookedness	aljasság	2005.01.29	91	9
rip	hasadék	2005.10.05	53	25
scribbler	firkász	2005.11.03	71	1
rarefaction	ritkítás	2005.09.03	93	11
strap	vállszíj	2003.12.11	133	2
nefarious	aljas	2004.06.15	69	28
rather!	hogyne!	2004.03.15	69	28
trip	kábulat	2005.10.29	110	15
still	mozdulatlan	2004.04.09	133	18
location	terület	2005.07.09	75	17
unbalanced	megzavarodott	2003.09.11	47	20
acerbity	savanyúság	2005.06.11	70	27
metal	lélek	2005.06.15	149	9
interstellar	csillagközi	2005.08.19	147	7
admonition	megintés	2003.10.23	135	13
withal	vele	2004.05.05	111	24
stock	törzsállomány	2004.10.10	83	10
strikers	támadójátékosok	2003.01.10	107	1
gravelly	kavicsos	2002.11.12	104	17
pinch	telérelvékonyodás	2002.12.30	66	22
buildup	konstrukció	2003.01.13	74	9
prime	legfontosabb	2002.12.25	149	4
gullet	vízmosás	2005.10.23	116	18
toolmaking	szerszámkészítés	2003.06.29	97	11
cutting	dugvány	2003.12.11	83	24
reel	tekercs	2003.11.30	108	21
enfranchisement	felszabadítás	2005.04.07	64	11
astutely	okosan	2004.03.27	143	15
disruptive	bomlasztó	2005.11.18	86	12
jar	összezördülés	2005.05.15	62	2
week	hét	2004.05.16	71	13
enhancement	fokozás	2003.09.19	58	29
freckle	folt	2003.12.08	130	13
toxic	toxikus	2004.05.05	123	16
ear	fülecske	2005.08.22	57	14
tommy	kantin	2005.03.20	137	18
pestilence	dögvész	2003.04.27	134	20
routine	megszokott	2005.02.17	91	6
egregious	hallatlan	2005.06.01	115	9
savanna	szavanna	2004.06.07	63	12
mistake	hiba	2004.11.18	130	24
push	döfés	2003.07.24	96	16
favour	támogatás	2004.11.11	67	0
spasmodically	görcsösen	2005.04.23	120	19
caller	látogató	2003.04.06	104	12
blubber	duzzadt	2005.12.01	53	3
skirt	alj	2005.06.11	121	23
languid	ernyedt	2005.03.21	65	17
shorts	derce	2005.03.10	54	5
sometimes	néha	2003.03.25	142	15
rapidness	gyorsaság	2005.04.11	130	22
diarrheic	hasmenéses	2003.04.26	141	18
typography	tipográfia	2004.06.04	133	25
savageness	brutalitás	2005.03.29	155	23
wattle	akác	2003.11.20	92	8
warmth	lelkesedés	2005.10.21	71	26
bloke	alak	2005.01.08	74	18
weighty	fontos	2004.06.19	135	9
gourd	lopótök	2003.06.09	82	15
gothic	vad	2004.12.26	116	3
fellowship	tagság	2004.03.09	118	17
fad	hóbort	2004.06.04	97	17
reverse	ellentétes	2003.05.28	98	18
vituperation	sértegetés	2005.05.07	121	19
lactic	tejes	2003.04.21	106	2
shake	lökés	2004.10.28	87	15
sharp	hegyes	2005.06.30	107	17
pitching	dobás	2005.01.12	93	27
dash	nekilendülés	2004.10.29	101	4
goal	cél	2005.06.25	80	8
gammy	nyomorék	2004.03.05	119	29
sector	körcikk	2004.04.13	62	27
fancy	extra	2005.08.15	127	20
helpful	szolgálatkész	2005.05.31	58	16
imperative	imperativus	2003.06.28	140	22
either	mindkét	2005.02.02	147	5
fatalities	halálos	2004.12.25	103	15
cheese	sajt	2005.06.25	142	7
reasonable	értelmes	2005.10.12	53	23
correspondent	tudósító	2004.12.10	81	19
upbeat	felütés	2004.06.12	70	5
horizon	horizont	2005.02.07	125	12
acuity	élesség	2003.10.24	128	0
aggregation	tömeg	2005.10.23	62	20
coach	oktató	2003.06.20	43	15
counterfeiter	pénzhamisító	2003.05.19	150	26
obliquely	ferdén	2004.06.14	130	15
helical	spirális	2005.01.20	71	14
titanium	titán	2003.11.08	61	11
shy	félénk	2005.10.09	80	18
clear	nettó	2004.01.31	54	21
kidnapper	emberrabló	2005.08.13	126	15
courser	versenyló	2003.08.17	132	24
outside	kinn	2005.08.10	84	15
bushwhacker	kalimpál	2005.09.03	88	17
interfering	lebegés	2003.03.29	62	12
classifiable	besorolható	2005.04.03	52	22
wrongdoing	méltánytalanság	2003.12.29	103	22
made	kitalált	2003.07.14	145	28
abysmal	feneketlen	2003.03.31	65	26
sickening	ellenszenves	2005.03.20	139	15
nest	fészek	2002.12.06	124	4
apt	talpraesett	2005.04.18	58	16
humbleness	alázatosság	2003.03.16	120	4
high	szagos	2004.04.07	101	13
fable	mese	2004.06.15	99	24
smut	korom	2003.06.17	78	2
feed	díjazott	2003.06.24	77	13
henceforth	ezentúl	2003.03.03	133	27
pulverizer	porozó	2005.01.13	92	27
dramatic	drámai	2003.12.02	110	8
discommodity	hátrány	2003.01.16	117	10
aloft	felfelé	2005.10.17	158	4
lot	osztályrész	2004.04.02	51	6
purge	hashajtó	2005.11.07	81	19
telly	tv	2004.04.15	103	18
uproarious	lármás	2004.08.23	76	27
excuse	mentség	2004.11.05	152	13
cuteness	agyafúrtság	2004.08.03	148	26
leak	elszivárgás	2003.01.30	74	18
churning	köpülés	2003.01.10	42	8
boot	csomagtartó	2004.06.13	120	0
inert	fásult	2003.06.18	124	10
guy	pasas	2002.11.13	123	5
solidity	megbízhatóság	2004.11.07	115	23
lining	betét	2004.11.07	126	1
mockery	utánzás	2005.06.08	46	27
fuzz	pihe	2004.03.04	93	11
fantasia	ábránd	2005.04.22	139	3
pale	sápadt	2005.02.12	111	20
emperor	császár	2003.11.05	144	23
extra	rendkívüli	2005.06.23	54	23
snappy	energikus	2002.12.29	49	13
reflector	macskaszem	2004.06.02	96	27
swardy	gyepes	2005.05.30	57	21
buffer	lökhárító	2003.12.19	129	28
sparks	távírász	2004.01.29	133	28
avail	haszon	2003.01.28	57	24
tracer	kikutató	2003.06.27	133	5
toast	tószt	2005.06.09	62	5
jumble	zagyvalék	2002.11.05	137	5
nausea	émelygés	2004.08.23	138	18
equivocal	határozatlan	2003.08.20	90	22
unconfused	nyílt	2003.09.16	138	26
exhaustive	aprólékos	2003.09.24	59	15
folk	emberek	2003.07.29	100	10
tangle	hínár	2004.08.13	78	19
side	rész	2004.08.15	142	14
stringency	megszorítás	2004.03.21	60	17
cast	mozgás	2005.11.02	69	10
steady	egyenletes	2004.12.22	138	11
extravagant	túlzó	2004.02.16	144	17
dirty	disznó	2005.01.10	114	10
wabble	támolygás	2005.06.09	79	27
pointer	svindler	2004.07.08	80	27
interrupter	közbeszóló	2005.01.16	108	15
acceptance	elfogadás	2003.01.24	156	24
tresses	fürtök	2003.12.03	52	3
fairness	szépség	2004.05.14	142	16
moist	nyirkos	2004.04.19	68	7
tipping	billentés	2004.09.18	151	9
bank	klaviatúra	2005.10.18	131	15
inebriate	részeg	2003.06.17	148	18
incongruity	illetlenség	2005.12.02	131	14
impersonator	tolmácsoló	2004.07.10	81	8
company	hajólegénység	2003.12.01	77	24
doggish	mutatós	2005.10.05	135	23
bearing	vonatkozás	2004.04.07	131	23
ascent	hegymenet	2005.04.18	89	25
involved	bonyolult	2003.01.01	99	18
primacy	érsekség	2004.06.14	82	7
nimble	élénk	2005.03.07	74	26
variation	változás	2004.05.08	152	23
mole	vakond	2003.09.13	61	29
drive	támadás	2003.02.06	156	7
prose	próza	2004.02.17	74	18
coding	kodifikálás	2004.03.18	58	21
chamber	zsiliptartó	2004.09.16	149	11
massiveness	masszívság	2004.01.30	45	19
loch	tó	2004.01.14	43	24
exempt	felmentett	2005.08.28	79	22
rooky	szélhámos	2005.03.16	96	15
woeful	szánalmas	2004.03.13	153	12
appallingly	visszataszítóan	2004.04.08	123	14
crackle	repedezés	2005.03.16	116	12
treasonable	hazaáruló	2003.06.30	91	6
past	mellett	2005.08.13	137	6
tic	arcrángás	2003.06.21	136	11
squad	raj	2003.07.30	67	8
whatsoever	akármilyent	2004.11.24	47	15
operative	munkás	2005.10.12	130	20
warmth	hév	2004.02.29	104	7
mournful	szomorú	2002.12.19	73	1
registration	iktatás	2004.01.11	131	28
warranty	garancia	2004.11.20	157	24
cowling	motorburkolat	2004.01.02	91	23
overhead	általános	2005.05.19	40	7
nett	háló	2004.12.03	135	26
demagog	népámító	2005.08.10	71	28
subjective	szubjektív	2005.04.28	143	28
matting	gyékényfonat	2003.03.08	158	18
mustiness	penészség	2004.08.25	131	0
dig	szénbányász	2004.07.16	42	29
musketry	muskétások	2005.08.05	139	1
didactic	didaktikus	2003.12.10	44	29
complacent	nyájas	2005.10.11	143	28
masquerader	komédiás	2005.10.17	61	28
impressionism	impresszionizmus	2005.11.16	152	4
thoroughbred	telivér	2004.08.16	112	9
ornate	díszes	2004.01.13	90	0
pampered	elkényeztetett	2005.09.28	78	3
gilt	aranyozott	2003.10.27	59	13
reproach	szemrehányás	2004.12.10	87	5
recitation	felelet	2004.10.31	144	20
pack	csomó	2003.02.28	128	4
hotelier	szállodatulajdonos	2003.03.10	83	18
white	tisztességes	2004.04.11	55	8
nefarious	gaz	2004.07.08	78	22
vertiginously	szédülve	2004.10.02	72	8
demographic	demográfiai	2002.12.23	45	28
residual	visszamaradt	2005.09.04	77	1
hold	befolyás	2003.10.28	40	7
suitability	alkalmasság	2002.11.11	98	7
Arab	arab	2005.11.15	141	7
pugilistic	ökölvívási	2003.11.27	82	9
guard	védekezés	2004.02.24	115	5
reformation	megjavulás	2005.11.18	42	29
log	talpgerenda	2004.04.05	90	12
bleak	zord	2003.06.03	78	11
territory	terület	2004.03.16	73	28
equal	egyenrangú	2003.01.12	48	18
commendation	beajánlás	2003.07.10	156	16
consecrate	felszentelt	2004.04.21	118	0
masking	elfátyolozódás	2003.06.27	50	16
narrow	elfogult	2005.08.21	158	23
scragginess	elcsenevészesedés	2003.05.12	48	13
valance	függönytartó	2004.10.29	157	26
liquid	folyékony	2002.12.26	48	4
exceedingly	rendkívül	2004.06.29	97	5
pun	szójáték	2004.08.06	67	0
stateliness	pompa	2005.11.03	60	22
chasing	domborítás	2003.02.07	131	26
reluctantly	kelletlenül	2005.08.17	103	28
scraggy	egyenetlen	2004.02.11	74	26
teamwork	brigádmunka	2004.11.07	132	27
short	kevesebb	2003.06.14	97	9
civic	polgári	2005.09.28	144	15
study	tanulás	2003.06.15	127	22
need	baj	2004.10.30	126	11
judgment	ítélet	2002.11.17	95	24
goodbye	istenhozzád	2005.01.28	50	13
dirty	ködös	2004.09.15	94	7
flutter	pulzálás	2004.07.09	102	5
antics	bohóckodás	2003.01.20	49	7
preacher	prédikátor	2005.01.02	158	25
arbor	lugas	2003.05.05	105	24
paraphrase	parafrázis	2003.07.13	60	23
succour	utánpótlás	2004.11.01	114	16
attachment	tartozék	2005.06.21	147	16
simulator	utánzókészülék	2005.04.05	85	13
twang	orrhang	2004.05.05	88	5
misdemeanour	vétség	2003.09.04	42	24
maid	cselédlány	2003.10.16	136	14
function	estély	2005.04.10	49	10
glassy	sima	2003.04.28	41	1
wheeling	kanyarodás	2003.06.13	88	8
hard	keményen	2004.01.08	156	8
mishap	baleset	2003.03.31	54	24
exaltation	felmagasztalás	2003.05.12	48	0
canapé	zsúrszendvics	2005.01.19	81	6
defilement	mocsok	2004.08.25	82	23
twitch	érintés	2004.03.22	72	9
oversight	elnézés	2003.09.25	99	1
statement	számadás	2005.08.04	127	3
absence	hiány	2004.08.09	149	3
modal	módbeli	2004.12.06	48	18
euphonic	eufonikus	2004.02.10	47	25
propagation	szaporítás	2003.01.04	73	7
poacher	orvhalász	2003.04.04	146	27
distasteful	ellenszenves	2002.12.20	131	3
exhibition	mutatvány	2005.11.22	132	16
adulteration	meghamisítás	2005.08.29	87	4
bifocal	kétfókuszú	2004.01.19	49	26
bated	kivéve	2005.09.12	70	21
coast	tengerpart	2002.11.08	43	29
glossary	szójegyzék	2004.09.10	102	18
stripping	színtelenítés	2005.08.21	135	17
attendance	látogatás	2005.11.21	69	17
least	legcsekélyebb	2003.06.16	77	9
melodramatic	melodrámai	2005.05.15	156	23
loess	lösz	2005.09.13	103	15
shipment	szállítmány	2002.11.14	142	12
roller	kanárifajta	2004.02.19	139	19
academic	konvencionális	2003.08.30	96	6
familiar	családias	2005.04.24	103	28
varnish	fényezés	2004.03.28	121	6
west	nyugatra	2002.11.21	121	26
style	modor	2004.03.19	141	11
unloving	hideg	2005.03.02	147	27
medley	keverék	2004.07.01	122	28
susceptible	fogékony	2004.03.20	111	21
insurrectional	lázadási	2003.07.11	158	24
gaunt	sovány	2003.10.04	76	15
overwrought	túlfeszített	2005.08.16	60	13
omelette	omlett	2003.12.03	115	0
head	rubrika	2004.08.14	122	13
eighteen	tizennyolc	2003.08.08	123	6
conceit	önteltség	2005.01.24	151	7
goat	kecske	2003.07.23	122	24
shell	karosszérialemezek	2003.04.19	143	12
priggishness	fontoskodás	2003.07.06	44	19
sell	becsapás	2005.09.22	94	22
stage	állomás	2004.05.22	132	9
superimposition	szuperpozíció	2005.08.03	105	26
beat	körjárat	2003.01.23	153	8
wonted	megszokott	2003.08.20	41	22
fairly	egészen	2004.07.20	116	19
pertinent	találó	2003.03.16	78	14
fractiousness	morcosság	2004.05.06	51	26
flake	forgács	2005.03.15	148	26
sizing	írezés	2005.05.31	50	4
lavishing	pazarló	2002.11.28	42	24
standard	mértékadó	2003.08.29	43	13
tweezers	csipesz	2005.07.15	92	14
custody	felügyelet	2004.05.12	62	11
huge	temérdek	2004.01.25	64	16
disqualification	kizárás	2005.08.24	65	28
soy	szójabab	2005.10.03	51	22
leaden	nyomasztó	2005.10.06	116	5
over	mindenütt	2005.02.22	107	24
compound	összetett	2004.04.22	101	14
esuriency	falánkság	2003.06.08	109	9
bally	átkozott	2002.12.17	61	7
function	függvény	2003.11.13	68	5
chip	faszilánk	2003.04.15	78	6
resort	eszköz	2005.08.09	102	8
depressing	nyomasztó	2004.08.03	55	29
adherence	odaadás	2005.09.10	44	27
diffident	félénk	2004.04.10	77	6
careless	gondatlan	2004.08.11	138	12
hustler	csaló	2005.07.28	123	9
haggard	ösztövér	2003.11.23	80	25
action	cselekmény	2003.07.28	52	6
wrongful	igazságtalan	2005.08.07	51	22
deflection	behajlás	2004.07.11	133	19
domesticated	háziasított	2003.11.20	61	22
twit	hülye	2005.10.27	42	9
accoutrements	öltözék	2003.02.10	140	3
swag	virágfüzérdísz	2003.08.19	76	24
coffer	pénzszekrény	2004.03.16	75	1
loathing	iszonyat	2002.12.14	73	6
astuteness	éleslátás	2005.03.29	144	11
uptight	ideges	2003.07.19	100	24
hesitation	tétovázás	2004.04.04	92	20
galvanic	galvános	2003.04.23	121	21
supposition	feltételezés	2005.09.09	89	12
repulsion	taszítás	2004.04.22	88	4
pottery	agyagedény	2004.05.24	74	1
thrashing	elfenekelés	2004.04.07	119	19
waged	megvesztegetett	2005.03.10	67	10
white	fehéráru	2005.05.26	98	11
palpability	nyilvánvalóság	2002.12.20	127	7
high	nagyon	2004.06.03	46	5
easily	könnyedén	2004.07.11	115	7
yelp	ugatás	2005.01.27	93	22
plumpness	kövérség	2003.03.14	65	9
coke	kokain	2005.10.31	129	1
uncommunicative	hallgatag	2003.02.27	42	12
bench	alapárok	2004.11.26	109	12
limitation	elévülés	2005.10.16	43	26
action	tett	2004.05.28	122	1
consonant	harmonizáló	2003.04.05	114	7
recollection	emlékezet	2003.10.02	93	12
true	megbízható	2004.03.22	131	29
lament	lamentáció	2005.03.23	132	12
repeat	ismétlés	2005.11.24	120	1
plunge	vízbemerülés	2003.07.18	116	20
medley	zagyva	2005.11.16	72	13
flaming	lobogó	2005.09.29	123	24
crisp	határozott	2005.08.07	149	19
cad	gazember	2004.06.23	114	3
ironically	gúnyosan	2005.03.11	153	25
scotch	bevágás	2004.02.26	114	5
debauchery	erkölcstelenség	2004.09.23	157	18
gondolier	gondolás	2003.06.28	94	24
bulb	gumó	2004.02.06	136	28
wrecking	tönkretétel	2005.10.18	127	19
pondering	latolgatás	2004.09.05	109	6
synclinal	összehajló	2005.11.18	114	8
tapering	elkeskenyítés	2002.12.14	158	23
braggart	kérkedés	2005.07.22	136	14
bald	dísztelen	2005.01.22	138	9
warrant	bizonyítvány	2004.02.14	59	2
wedlock	házasság	2003.11.07	41	7
fluency	folyékonyság	2003.07.20	55	8
generation	generáció	2003.07.16	121	24
starry	ragyogó	2003.09.17	138	23
pinnacle	csúcs	2004.11.05	134	13
immensely	mérhetetlenül	2005.05.10	140	3
style	bibeszál	2002.12.04	136	13
point	kérdés	2005.10.11	80	20
tiffin	villásreggeli	2004.04.29	46	5
tricky	ravasz	2005.07.19	44	14
warp	láncfonat	2004.07.21	106	4
pact	megállapodás	2004.01.25	118	1
acrimonious	maró	2002.12.25	52	27
slaughter	levágás	2004.06.21	77	5
expansive	lelkes	2003.07.01	50	8
signal	jel	2003.07.08	140	29
matchless	egyedülálló	2005.05.02	115	16
equivocal	kérdéses	2005.10.01	99	17
reconciliation	kibékítés	2005.10.23	81	9
whisper	súgás	2004.03.18	107	2
bank	folyópart	2005.05.16	135	12
chancy	kockázatos	2004.06.21	75	4
pander	cinkos	2003.06.24	119	15
white	fehérruhás	2003.01.28	127	5
love	szerelem	2005.11.18	97	3
alike	egyforma	2004.09.10	135	8
flutter	remegés	2005.09.25	109	1
clashing	csattanás	2003.01.24	120	8
equal	kiegyensúlyozott	2004.03.23	120	13
inordinately	rendetlenül	2003.01.17	122	27
sequence	sorozat	2003.06.24	80	19
shovel	lapát	2003.04.12	145	22
blissful	áldott	2005.04.07	90	23
hairy	izgi	2002.11.29	97	28
solicitous	aggodalmas	2003.02.04	45	2
corona	fényudvar	2004.10.26	49	21
sweetheart	kedves	2003.04.06	158	22
outside	külszín	2003.07.12	67	25
difference	különbség	2004.08.01	67	28
cartridge	patron	2005.10.18	64	19
which	melyet	2004.02.05	95	9
motion	motívum	2004.09.13	126	25
auger	fúrószerszám	2005.02.17	108	9
disposition	intézkedés	2004.03.07	159	26
patchy	foltozott	2003.09.22	110	24
willing	szíves	2004.01.06	63	20
exhaustion	kimerítés	2004.04.17	81	6
stenchy	büdös	2005.05.09	133	19
use	szokás	2004.10.18	140	8
reformation	megjavítás	2004.11.06	84	20
squid	tintahal	2004.05.26	148	20
industry	iparág	2003.05.18	123	1
shaveling	megborotvált	2003.06.19	76	17
valise	poggyászzsák	2003.12.22	103	16
seismography	földrengésjelzés	2005.03.29	156	9
élan	elán	2003.07.31	142	16
madcap	féktelen	2004.11.09	54	6
enough	elég	2005.11.11	116	13
squelch	cuppogás	2004.03.07	91	2
wetting	nedvesítés	2005.06.01	151	8
mobility	mobilitás	2004.01.10	148	21
neutral	közömbös	2005.03.21	55	6
pretty	csinos	2003.08.12	79	7
bicycle	bicikli	2003.03.22	106	19
clench	kilincs	2003.07.30	88	27
holistic	holisztikus	2003.10.06	119	29
spider	támasztórúd	2003.04.25	129	15
intermittently	félbeszakításokkal	2004.07.15	116	16
corner	sarokvas	2002.11.23	77	24
despondency	csüggedés	2003.08.16	96	15
voice	zönge	2004.01.09	47	15
trist	búbánatos	2003.05.07	114	17
modest	igénytelen	2003.01.29	70	5
fixed	szilárd	2003.05.15	96	9
precipice	szakadék	2003.01.01	77	29
angel	angyal	2005.01.10	134	12
trough	fenéktér	2002.12.27	140	7
nastiness	kellemetlenség	2003.01.18	52	8
grace	megbocsátás	2004.10.09	86	13
proficient	jártas	2003.11.12	93	20
exhilaration	élénkség	2003.12.30	42	6
diagram	grafikon	2004.02.02	117	2
youth	ifjúság	2005.01.11	125	26
partial	részbeni	2003.04.18	107	20
handicapped	fogyatékos	2005.02.02	91	25
reaction	reagálás	2005.01.30	100	2
dune	homokbucka	2004.08.21	44	29
